260625_SnO2_+50 - 1 - 6/25/2026 12:45:45 PM,,,260625_SnO2_+50 - 2 - 6/25/2026 12:46:55 PM,,,260625_SnO2_+50 - 3 - 6/25/2026 12:48:04 PM,,,260625_SnO2_+50 - 4 - 6/25/2026 12:49:13 PM,,,260625_SnO2_+50 - 5 - 6/25/2026 12:50:22 PM,,,260625_SnO2_+50 - 6 - 6/25/2026 12:51:31 PM,,,260625_SnO2_+50 - 7 - 6/25/2026 12:52:40 PM,,,260625_SnO2_+50 - 8 - 6/25/2026 12:53:49 PM,,,260625_SnO2_+50 - 9 - 6/25/2026 12:54:58 PM,,,260625_SnO2_+50 - 10 - 6/25/2026 12:56:07 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
17.54,58.58,86.432,3.96,42.40,91.180,4.01,99.52,46.600,4.43,20.73,95.734,1.52,0.00,13.058,1.32,0.00,10.645,,,,1.74,0.00,22.200,5.34,39.69,92.240,1.53,0.00,19.883
19.78,52.92,88.451,4.07,37.35,92.590,4.15,99.88,48.618,4.55,17.13,96.450,1.61,0.00,13.058,1.38,6.85,10.880,,,,1.84,10.41,22.498,5.48,34.94,93.529,1.60,0.00,19.883
22.30,47.38,90.259,4.17,32.61,93.821,4.29,100.00,50.639,4.68,14.00,97.035,1.69,0.00,13.058,1.45,0.00,10.880,,,,1.93,12.52,22.856,5.63,30.51,94.656,1.68,0.00,19.883
25.14,42.05,91.864,4.29,28.22,94.886,4.43,99.88,52.658,4.80,11.32,97.508,1.78,0.00,13.058,1.56,9.72,11.214,,,,2.02,14.94,23.283,5.77,26.43,95.631,1.75,0.00,19.883
28.35,37.00,93.275,4.40,24.21,95.800,4.58,99.52,54.669,4.93,9.06,97.887,1.88,0.00,13.058,1.63,11.86,11.622,,,,2.11,17.69,23.789,5.93,22.70,96.469,1.84,0.00,19.883
31.97,32.26,94.506,4.52,20.59,96.577,4.73,98.92,56.669,5.07,7.17,98.186,2.06,8.88,13.388,1.71,14.33,12.115,,,,2.21,20.78,24.383,6.08,19.34,97.183,1.92,10.02,20.207
36.05,27.88,95.570,4.64,17.36,97.232,4.89,98.08,58.651,5.28,5.35,98.410,2.17,11.12,13.801,1.80,17.17,12.705,,,,2.31,24.22,25.075,6.24,16.34,97.787,2.02,0.00,20.207
40.65,23.89,96.481,4.76,14.51,97.780,5.05,97.02,60.612,5.39,11.56,98.893,2.28,13.78,14.313,1.88,20.38,13.406,,,,2.42,28.01,25.876,6.41,13.70,98.292,2.14,12.02,20.596
45.83,20.28,97.255,4.89,12.02,98.234,5.22,95.74,62.547,5.51,14.94,99.517,2.40,16.88,14.940,1.98,23.99,14.230,,,,2.53,32.13,26.795,6.74,5.71,98.503,2.24,14.64,21.069
51.68,17.07,97.906,5.01,9.87,98.606,5.39,94.25,64.452,5.62,11.56,100.000,2.53,20.46,15.700,2.07,27.99,15.193,,,,2.65,36.58,27.841,6.88,12.32,98.958,2.35,17.66,21.640
58.27,14.24,98.450,5.15,8.03,98.909,5.57,92.56,66.322,5.87,0.00,100.000,2.66,24.53,16.611,2.17,32.37,16.306,,,,2.77,41.32,29.023,7.02,15.91,99.545,2.45,21.09,22.322
65.71,11.78,98.899,5.28,6.48,99.154,5.75,90.67,68.155,6.03,0.00,100.000,2.80,29.08,17.690,2.28,37.11,17.582,,,,2.90,46.30,30.347,7.16,12.32,100.000,2.57,24.95,23.129
74.09,9.65,99.267,5.42,5.19,99.350,5.95,88.61,69.946,6.20,0.00,100.000,2.95,34.09,18.957,2.39,42.17,19.031,,,,3.03,51.48,31.819,7.46,0.00,100.000,2.69,29.24,24.074
83.55,7.84,99.567,5.76,17.22,100.000,6.14,86.39,71.692,6.38,0.00,100.000,3.10,39.54,20.425,2.51,47.49,20.664,,,,3.17,56.80,33.443,7.66,0.00,100.000,2.81,33.93,25.171
94.20,6.32,99.808,5.92,0.00,100.000,6.35,84.02,73.390,6.56,0.00,100.000,3.26,45.36,22.109,2.63,53.02,22.487,,,,3.32,62.17,35.221,7.86,0.00,100.000,2.94,39.00,26.433
106.22,5.04,100.000,6.08,0.00,100.000,6.56,81.52,75.038,6.74,0.00,100.000,3.43,51.46,24.021,2.76,58.68,24.505,,,,3.47,67.51,37.152,8.07,0.00,100.000,3.07,44.41,27.868
