260625_SnO2_0 - 1 - 6/25/2026 12:18:25 PM,,,260625_SnO2_0 - 2 - 6/25/2026 12:19:34 PM,,,260625_SnO2_0 - 3 - 6/25/2026 12:20:43 PM,,,260625_SnO2_0 - 4 - 6/25/2026 12:21:52 PM,,,260625_SnO2_0 - 5 - 6/25/2026 12:23:01 PM,,,260625_SnO2_0 - 6 - 6/25/2026 12:24:10 PM,,,260625_SnO2_0 - 7 - 6/25/2026 12:25:19 PM,,,260625_SnO2_0 - 8 - 6/25/2026 12:26:28 PM,,,260625_SnO2_0 - 9 - 6/25/2026 12:27:37 PM,,,260625_SnO2_0 - 10 - 6/25/2026 12:28:46 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
11.46,35.06,93.167,8.74,9.25,99.814,10.87,15.04,98.899,8.25,0.00,100.000,7.93,0.00,91.559,11.44,80.95,75.285,11.59,86.54,71.667,3.75,42.76,18.709,9.44,3.94,91.478,9.77,89.14,69.670
11.78,31.49,94.088,8.93,5.09,100.000,11.14,13.50,99.413,8.46,0.00,100.000,8.18,0.00,91.559,11.75,77.76,77.142,12.34,83.66,73.688,3.92,48.07,20.362,9.70,5.13,91.642,10.07,86.76,71.559
12.11,28.14,94.911,9.43,0.00,100.000,11.41,9.76,99.784,8.69,0.00,100.000,8.44,0.00,91.559,12.06,74.44,78.920,13.15,80.58,75.634,4.11,53.57,22.205,9.96,6.50,91.852,10.38,84.22,73.393
12.44,25.01,95.642,9.68,0.00,100.000,11.70,5.68,100.000,8.92,0.00,100.000,8.71,0.00,91.559,12.38,71.01,80.616,14.00,77.34,77.502,4.30,59.19,24.242,10.24,8.03,92.110,10.69,81.51,75.168
12.79,22.11,96.289,9.94,0.00,100.000,12.36,0.00,100.000,9.15,0.00,100.000,8.98,0.00,91.559,12.70,67.50,82.228,14.92,73.96,79.288,4.50,64.83,26.472,10.52,9.68,92.422,11.02,78.67,76.881
13.14,19.45,96.858,10.20,0.00,100.000,12.69,0.00,100.000,9.39,0.00,100.000,9.27,0.00,91.559,13.04,63.94,83.755,15.89,70.48,80.991,4.71,70.39,28.894,10.81,11.39,92.788,11.36,75.71,78.530
13.51,17.01,97.355,10.48,0.00,100.000,13.03,0.00,100.000,9.64,0.00,100.000,9.56,0.00,91.559,13.38,60.36,85.196,16.92,66.93,82.607,4.93,75.77,31.501,11.11,13.06,93.208,11.71,72.65,80.112
13.88,14.81,97.789,10.76,0.00,100.000,13.38,0.00,100.000,9.89,0.00,100.000,9.87,0.00,91.559,13.74,56.78,86.552,18.03,63.33,84.137,5.17,80.87,34.283,11.42,14.62,93.679,12.07,69.53,81.625
14.27,12.82,98.164,11.04,0.00,100.000,13.74,0.00,100.000,10.16,0.00,100.000,10.18,0.00,91.559,14.10,53.22,87.823,19.20,59.71,85.579,5.41,85.55,37.227,11.73,15.95,94.192,12.44,66.34,83.070
14.66,11.04,98.487,11.34,0.00,100.000,14.11,0.00,100.000,10.42,0.00,100.000,10.63,2.76,91.691,14.47,49.72,89.011,20.45,56.09,86.933,5.66,89.73,40.314,12.05,16.98,94.739,12.82,63.13,84.445
15.07,9.46,98.763,11.64,0.00,100.000,14.48,0.00,100.000,10.70,0.00,100.000,10.93,4.29,91.896,14.85,46.28,90.116,21.79,52.51,88.202,5.93,93.30,43.524,12.39,17.63,95.306,13.21,59.90,85.749
15.48,8.06,98.999,11.95,0.00,100.000,14.87,0.00,100.000,10.98,0.00,100.000,11.25,6.28,92.196,15.24,42.93,91.141,23.21,48.98,89.384,6.20,96.17,46.833,12.73,17.85,95.880,13.62,56.67,86.983
15.91,6.84,99.199,12.27,0.00,100.000,15.27,0.00,100.000,11.27,0.00,100.000,11.57,8.67,92.610,15.65,39.69,92.089,24.72,45.52,90.484,6.49,98.28,50.214,13.08,17.63,96.447,14.03,53.47,88.147
16.35,5.77,99.368,12.60,0.00,100.000,15.68,0.00,100.000,11.57,0.00,100.000,11.90,11.28,93.149,16.06,36.56,92.962,26.33,42.16,91.502,6.80,99.57,53.640,13.44,16.98,96.994,14.46,50.30,89.242
16.81,4.84,99.509,12.93,0.00,100.000,16.10,0.00,100.000,11.87,0.00,100.000,12.24,13.85,93.811,16.48,33.56,93.764,28.05,38.90,92.442,7.12,100.00,57.080,13.81,15.95,97.507,14.91,47.19,90.270
17.27,4.04,99.627,13.28,0.00,100.000,16.53,0.00,100.000,12.19,0.00,100.000,12.59,16.04,94.578,16.92,30.70,94.497,29.88,35.77,93.306,7.45,99.57,60.506,14.19,14.62,97.977,15.36,44.14,91.231
17.93,12.74,100.000,13.63,0.00,100.000,16.98,0.00,100.000,12.51,0.00,100.000,12.95,17.51,95.415,17.37,27.98,95.165,31.83,32.78,94.098,7.80,98.28,63.887,14.58,13.06,98.398,15.83,41.17,92.128
18.44,0.00,100.000,14.00,0.00,100.000,17.43,0.00,100.000,12.84,0.00,100.000,13.32,18.03,96.276,17.82,25.42,95.772,33.90,29.93,94.820,8.16,96.17,67.196,14.99,11.39,98.764,16.32,38.30,92.962
18.96,0.00,100.000,14.37,0.00,100.000,17.90,0.00,100.000,13.18,0.00,100.000,13.70,17.51,97.113,18.30,23.01,96.322,36.11,27.23,95.478,8.55,93.30,70.406,15.40,9.68,99.076,16.82,35.52,93.735
19.50,0.00,100.000,14.75,0.00,100.000,18.38,0.00,100.000,13.52,0.00,100.000,14.09,16.04,97.880,18.78,20.76,96.817,38.47,24.68,96.074,8.95,89.73,73.493,15.82,8.03,99.334,17.33,32.85,94.450
20.05,0.00,100.000,15.15,0.00,100.000,18.88,0.00,100.000,13.88,0.00,100.000,14.49,13.85,98.542,19.27,18.66,97.263,40.98,22.29,96.613,9.37,85.55,76.436,16.26,6.50,99.543,17.86,30.30,95.110
20.62,0.00,100.000,15.55,0.00,100.000,19.38,0.00,100.000,14.25,0.00,100.000,14.90,11.28,99.081,19.78,16.71,97.662,43.65,20.07,97.097,9.80,80.87,79.219,16.71,5.13,99.708,18.41,27.86,95.717
21.21,0.00,100.000,15.97,0.00,100.000,19.90,0.00,100.000,14.62,0.00,100.000,15.33,8.67,99.495,20.31,14.92,98.018,46.49,18.00,97.532,10.26,75.77,81.826,17.17,3.94,99.835,18.98,25.55,96.273
21.81,0.00,100.000,16.39,0.00,100.000,20.44,0.00,100.000,15.01,0.00,100.000,15.77,6.28,99.795,20.84,13.27,98.335,49.52,16.08,97.920,10.74,70.39,84.247,17.64,2.96,99.930,19.56,23.37,96.782
22.43,0.00,100.000,16.83,0.00,100.000,20.99,0.00,100.000,15.40,0.00,100.000,16.22,4.29,100.000,21.39,11.77,98.616,52.75,14.32,98.266,11.25,64.83,86.478,18.13,2.17,100.000,20.16,21.31,97.246
23.06,0.00,100.000,17.28,0.00,100.000,21.55,0.00,100.000,15.81,0.00,100.000,17.32,0.00,100.000,21.96,10.39,98.865,56.19,12.71,98.573,11.77,59.19,88.514,19.33,0.00,100.000,20.77,19.37,97.668
23.72,0.00,100.000,17.74,0.00,100.000,22.13,0.00,100.000,16.23,0.00,100.000,17.87,0.00,100.000,22.54,9.15,99.083,59.86,11.23,98.845,12.33,53.57,90.357,19.85,0.00,100.000,21.41,17.57,98.051
24.39,0.00,100.000,18.22,0.00,100.000,22.72,0.00,100.000,16.65,0.00,100.000,18.44,0.00,100.000,23.13,8.02,99.275,63.76,9.90,99.084,12.90,48.07,92.011,20.40,0.00,100.000,22.07,15.88,98.396
25.08,0.00,100.000,18.70,0.00,100.000,23.33,0.00,100.000,17.09,0.00,100.000,19.02,0.00,100.000,23.74,7.01,99.442,67.92,8.69,99.294,13.51,42.76,93.482,20.96,0.00,100.000,22.74,14.32,98.708
25.79,0.00,100.000,19.20,0.00,100.000,23.96,0.00,100.000,17.54,0.00,100.000,19.63,0.00,100.000,24.37,6.11,99.588,72.35,7.60,99.477,14.14,37.71,94.780,21.53,0.00,100.000,23.44,12.87,98.988
26.53,0.00,100.000,19.71,0.00,100.000,24.60,0.00,100.000,18.01,0.00,100.000,20.25,0.00,100.000,25.01,5.30,99.715,77.06,6.62,99.637,14.80,32.97,95.914,22.12,0.00,100.000,24.16,11.54,99.240
27.28,0.00,100.000,20.24,0.00,100.000,25.26,0.00,100.000,18.48,0.00,100.000,20.89,0.00,100.000,25.67,4.59,99.824,82.09,5.75,99.776,15.50,28.57,96.897,22.72,0.00,100.000,24.90,10.31,99.464
28.05,0.00,100.000,20.78,0.00,100.000,25.94,0.00,100.000,18.97,0.00,100.000,21.56,0.00,100.000,26.35,3.96,99.919,87.44,4.98,99.896,16.22,24.55,97.742,23.34,0.00,100.000,25.66,9.19,99.664
28.85,0.00,100.000,21.34,0.00,100.000,26.63,0.00,100.000,19.47,0.00,100.000,22.24,0.00,100.000,27.05,3.40,100.000,93.14,4.29,100.000,16.98,20.91,98.461,23.98,0.00,100.000,26.45,8.17,99.842
29.67,0.00,100.000,21.91,0.00,100.000,27.35,0.00,100.000,19.98,0.00,100.000,22.95,0.00,100.000,28.29,0.00,100.000,105.03,0.00,100.000,17.78,17.66,99.069,24.64,0.00,100.000,27.26,7.24,100.000
30.51,0.00,100.000,22.49,0.00,100.000,28.08,0.00,100.000,20.51,0.00,100.000,23.68,0.00,100.000,29.05,0.00,100.000,111.98,0.00,100.000,18.61,14.79,99.578,25.31,0.00,100.000,28.90,0.00,100.000
31.37,0.00,100.000,23.09,0.00,100.000,28.84,0.00,100.000,21.05,0.00,100.000,24.43,0.00,100.000,29.83,0.00,100.000,119.39,0.00,100.000,19.48,12.27,100.000,26.01,0.00,100.000,29.79,0.00,100.000
32.26,0.00,100.000,23.71,0.00,100.000,29.61,0.00,100.000,21.61,0.00,100.000,25.20,0.00,100.000,30.63,0.00,100.000,127.29,0.00,100.000,20.70,0.00,100.000,26.72,0.00,100.000,30.72,0.00,100.000
33.18,0.00,100.000,24.34,0.00,100.000,30.40,0.00,100.000,22.18,0.00,100.000,26.00,0.00,100.000,31.46,0.00,100.000,135.72,0.00,100.000,21.69,0.00,100.000,27.45,0.00,100.000,31.67,0.00,100.000
34.12,0.00,100.000,24.99,0.00,100.000,31.22,0.00,100.000,22.76,0.00,100.000,26.83,0.00,100.000,32.30,0.00,100.000,144.70,0.00,100.000,22.73,0.00,100.000,28.20,0.00,100.000,32.65,0.00,100.000
