260625_SnO2_-10 - 1 - 6/25/2026 12:05:54 PM,,,260625_SnO2_-10 - 2 - 6/25/2026 12:07:04 PM,,,260625_SnO2_-10 - 3 - 6/25/2026 12:08:13 PM,,,260625_SnO2_-10 - 4 - 6/25/2026 12:09:22 PM,,,260625_SnO2_-10 - 5 - 6/25/2026 12:10:31 PM,,,260625_SnO2_-10 - 6 - 6/25/2026 12:11:40 PM,,,260625_SnO2_-10 - 7 - 6/25/2026 12:12:49 PM,,,260625_SnO2_-10 - 8 - 6/25/2026 12:13:59 PM,,,260625_SnO2_-10 - 9 - 6/25/2026 12:15:08 PM,,,260625_SnO2_-10 - 10 - 6/25/2026 12:16:18 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
1.14,0.00,9.445,2.15,0.00,7.883,1.06,2.69,27.339,5.86,92.44,34.727,5.45,93.21,35.476,5.80,84.22,28.342,0.72,95.72,62.832,6.91,96.04,60.989,5.09,91.72,38.601,6.48,93.08,35.380
1.21,0.00,9.445,2.25,0.00,7.883,1.13,2.69,27.420,6.03,94.16,36.643,5.61,94.97,37.567,5.97,86.77,30.235,0.75,93.39,65.665,7.10,93.89,63.675,5.66,95.25,42.442,6.67,94.87,37.487
1.30,0.00,9.445,2.35,0.00,7.883,1.21,0.00,27.420,6.22,95.68,38.589,5.78,96.48,39.692,6.15,89.14,32.180,0.78,90.62,68.415,7.31,91.32,66.288,6.29,97.86,46.390,6.86,96.41,39.628
1.39,0.00,9.445,2.45,0.00,7.883,1.29,0.00,27.420,6.41,96.98,40.561,5.95,97.73,41.844,6.33,91.32,34.172,0.81,87.45,71.068,7.51,88.37,68.817,6.99,99.46,50.401,7.06,97.69,41.797
1.49,0.00,9.445,2.56,0.00,7.883,1.37,0.00,27.420,6.60,98.06,42.556,6.13,98.72,44.018,6.51,93.28,36.208,0.85,83.93,73.614,7.73,85.09,71.252,7.77,100.00,54.435,7.27,98.69,43.989
1.59,0.00,9.445,2.67,6.45,8.103,1.46,0.00,27.420,6.80,98.90,44.567,6.31,99.43,46.207,6.70,95.02,38.281,0.88,80.12,76.045,7.94,81.52,73.585,8.63,99.46,58.446,7.48,99.42,46.196
1.70,0.00,9.445,2.79,0.00,8.103,1.55,0.00,27.420,7.01,99.51,46.591,6.50,99.86,48.406,6.90,96.51,40.386,0.92,76.06,78.352,8.17,77.70,75.808,9.59,97.86,62.393,7.69,99.85,48.413
1.82,0.00,9.445,2.96,9.52,8.428,1.66,0.00,27.420,7.22,99.88,48.623,6.69,100.00,50.608,7.10,97.75,42.519,0.96,71.81,80.531,8.40,73.69,77.917,10.66,95.25,66.235,7.91,100.00,50.634
1.95,0.00,9.445,3.09,11.54,8.822,1.76,0.00,27.420,7.44,100.00,50.657,6.89,99.86,52.807,7.31,98.73,44.673,0.99,67.43,82.577,8.64,69.54,79.907,11.85,91.72,69.935,8.14,99.85,52.851
2.08,0.00,9.445,3.22,13.87,9.295,1.99,8.08,27.663,7.67,99.88,52.689,7.10,99.43,54.997,7.52,99.43,46.842,1.03,62.97,84.487,8.88,65.29,81.775,13.17,87.36,73.458,8.38,99.42,55.059
2.23,0.00,9.445,3.36,16.53,9.859,2.12,10.10,27.968,7.90,99.51,54.713,7.31,98.72,57.170,7.75,99.86,49.021,1.08,58.48,86.261,9.14,60.99,83.520,14.63,82.32,76.779,8.62,98.69,57.250
2.39,0.00,9.445,3.51,19.54,10.525,2.25,12.50,28.344,8.14,98.90,56.724,7.53,97.73,59.323,7.97,100.00,51.203,1.12,54.02,87.900,9.39,56.69,85.143,16.26,76.74,79.874,8.87,97.69,59.420
2.55,0.00,9.445,3.66,22.91,11.307,2.39,15.31,28.805,8.39,98.06,58.719,7.75,96.48,61.447,8.21,99.86,53.381,1.17,49.63,89.406,9.66,52.42,86.643,18.07,70.76,82.728,9.13,96.41,61.560
2.73,0.00,9.445,3.82,26.64,12.216,2.55,18.55,29.363,8.65,96.98,60.691,7.98,94.97,63.538,8.45,99.43,55.551,1.21,45.34,90.782,9.93,48.23,88.023,20.08,64.55,85.331,9.39,94.87,63.667
2.92,0.00,9.445,3.98,30.74,13.265,2.71,22.26,30.034,8.91,95.68,62.637,8.22,93.21,65.591,8.69,98.73,57.705,1.26,41.20,92.032,10.22,44.16,89.286,22.32,58.25,87.681,9.66,93.08,65.734
3.12,0.00,9.445,4.16,35.17,14.465,2.88,26.42,30.829,9.18,94.16,64.553,8.47,91.23,67.600,8.95,97.75,59.838,1.31,37.23,93.161,10.51,40.22,90.437,24.80,52.00,89.778,9.94,91.06,67.756
3.34,0.00,9.445,4.34,39.91,15.827,3.06,31.04,31.764,9.46,92.44,66.433,8.72,89.03,69.560,9.21,96.51,61.943,1.37,33.46,94.176,10.80,36.45,91.481,27.56,45.92,91.631,10.23,88.82,69.728
3.58,0.00,9.445,4.52,44.93,17.360,3.26,36.10,32.851,9.75,90.54,68.275,8.98,86.64,71.468,9.48,95.02,64.016,1.42,29.91,95.084,11.11,32.87,92.421,30.63,40.12,93.249,10.52,86.38,71.646
3.83,0.00,9.445,4.72,50.16,19.072,3.47,41.54,34.101,10.05,88.45,70.074,9.25,84.06,73.319,9.76,93.28,66.051,1.48,26.59,95.891,11.42,29.49,93.265,34.04,34.67,94.647,10.83,83.77,73.507
4.25,9.71,9.930,4.93,55.55,20.968,3.69,47.30,35.526,10.35,86.20,71.827,9.52,81.34,75.111,10.04,91.32,68.044,1.54,23.51,96.604,11.75,26.33,94.019,37.82,29.64,95.843,11.14,81.00,75.305
4.54,12.88,10.573,5.14,61.02,23.050,3.92,53.31,37.131,10.67,83.80,73.531,9.80,78.47,76.839,10.34,89.14,69.988,1.60,20.67,97.231,12.08,23.38,94.688,42.03,25.07,96.854,11.46,78.09,77.039
4.84,16.78,11.410,5.36,66.48,25.319,4.17,59.46,38.921,10.99,81.27,75.184,10.10,75.49,78.501,10.64,86.77,71.882,1.67,18.08,97.779,12.42,20.66,95.279,46.71,20.98,97.700,11.79,75.06,78.706
5.17,21.46,12.481,5.60,71.85,27.771,4.43,65.63,40.897,11.33,78.62,76.784,10.40,72.41,80.095,10.95,84.22,73.719,1.73,15.72,98.256,12.78,18.17,95.799,51.91,17.36,98.401,12.13,71.94,80.303
5.52,26.94,13.825,5.84,77.01,30.398,4.72,71.70,43.056,11.67,75.87,78.327,10.71,69.26,81.621,11.27,81.51,75.497,1.80,13.60,98.669,13.14,15.90,96.254,57.69,14.22,98.974,12.48,68.75,81.830
5.89,33.22,15.483,6.09,81.87,33.192,5.02,77.51,45.390,12.03,73.03,79.812,11.03,66.06,83.075,11.60,78.67,77.214,1.88,11.70,99.024,13.51,13.84,96.650,64.11,11.51,99.439,12.84,65.51,83.285
6.29,40.22,17.490,6.36,86.33,36.138,5.33,82.93,47.887,12.39,70.14,81.239,11.35,62.83,84.459,11.94,75.71,78.866,1.95,10.01,99.328,13.89,11.98,96.993,72.17,8.30,99.773,13.22,62.24,84.667
6.71,47.82,19.876,6.63,90.30,39.220,5.67,87.81,50.531,12.77,67.19,82.605,11.69,59.58,85.771,12.29,72.66,80.451,2.03,8.52,99.586,14.33,4.80,97.130,80.40,2.81,99.887,13.60,58.96,85.976
7.17,55.83,22.662,6.92,93.68,42.416,6.03,92.02,53.302,13.16,64.20,83.911,12.04,56.34,87.011,12.65,69.53,81.968,2.12,7.21,99.805,14.68,8.86,97.384,89.56,2.81,100.000,13.99,55.68,87.212
7.65,64.00,25.856,7.22,96.39,45.706,6.42,95.43,56.175,13.56,61.20,85.156,12.40,53.12,88.181,13.02,66.35,83.415,2.26,0.00,99.805,15.04,13.72,97.776,99.76,0.00,100.000,14.40,52.44,88.377
8.17,72.05,29.451,7.54,98.38,49.063,6.82,97.94,59.124,13.97,58.20,86.340,12.77,49.94,89.281,13.41,63.13,84.793,2.35,6.44,100.000,15.41,17.83,98.287,111.13,0.00,100.000,14.81,49.24,89.470
8.72,79.64,33.425,7.86,99.59,52.461,7.26,99.48,62.119,14.40,55.21,87.463,13.15,46.82,90.312,13.80,59.90,86.100,2.45,0.00,100.000,15.79,19.46,98.844,123.79,0.00,100.000,15.24,46.10,90.494
