260615_SnO2_CB_GB - 1 - 6/15/2026 2:19:44 PM,,,260615_SnO2_CB_GB - 2 - 6/15/2026 2:20:53 PM,,,260615_SnO2_CB_GB - 3 - 6/15/2026 2:22:02 PM,,,260615_SnO2_CB_GB - 4 - 6/15/2026 2:23:11 PM,,,260615_SnO2_CB_GB - 5 - 6/15/2026 2:24:20 PM,,,260615_SnO2_CB_GB - 6 - 6/15/2026 2:25:30 PM,,,260615_SnO2_CB_GB - 7 - 6/15/2026 2:26:39 PM,,,260615_SnO2_CB_GB - 8 - 6/15/2026 2:27:48 PM,,,260615_SnO2_CB_GB - 9 - 6/15/2026 2:28:57 PM,,,260615_SnO2_CB_GB - 10 - 6/15/2026 2:30:06 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
4.68,98.67,56.995,4.60,58.49,85.285,3.65,98.11,43.314,,,,7.50,91.55,69.356,4.19,97.84,42.355,4.08,99.91,48.531,4.76,100.00,50.637,1.89,16.89,11.711,4.29,95.01,38.366
4.83,97.65,59.187,4.73,53.68,87.014,3.76,98.93,45.315,,,,8.29,88.06,72.387,4.31,98.61,44.110,4.20,100.00,50.342,4.88,99.85,52.870,1.99,19.78,12.336,4.42,96.51,40.463
4.97,96.35,61.350,4.86,48.96,88.590,3.87,99.52,47.329,,,,9.15,84.11,75.282,4.44,99.22,45.875,4.33,99.91,52.152,5.01,99.41,55.093,2.10,23.00,13.063,4.56,97.75,42.587
5.12,94.79,63.478,5.00,44.37,90.020,3.99,99.88,49.350,,,,10.10,79.77,78.027,4.58,99.65,47.648,4.46,99.64,53.957,5.14,98.67,57.300,2.21,26.54,13.902,4.69,98.73,44.731
5.27,92.97,65.565,5.14,39.96,91.307,4.11,100.00,51.373,,,,11.15,75.12,80.613,4.72,99.91,49.426,4.59,99.20,55.754,5.28,97.64,59.483,2.33,30.41,14.864,4.84,99.43,46.892
5.43,90.92,67.606,5.28,35.76,92.458,4.23,99.88,53.394,,,,12.31,70.25,83.030,4.86,100.00,51.206,4.73,98.58,57.540,5.41,96.34,61.638,2.45,34.58,15.957,4.98,99.86,49.061
5.60,88.65,69.596,5.43,31.80,93.483,4.36,99.52,55.408,,,,13.59,65.23,85.275,5.01,99.91,52.984,4.87,97.79,59.311,5.56,94.78,63.758,2.58,39.04,17.191,5.13,100.00,51.234
5.76,86.18,71.530,5.59,28.10,94.388,4.49,98.93,57.410,,,,15.00,60.14,87.345,5.16,99.65,54.757,5.02,96.83,61.065,5.70,92.96,65.836,2.72,43.75,18.574,5.29,99.86,53.403
5.94,83.53,73.405,5.74,24.67,95.182,4.63,98.11,59.395,,,,16.56,55.05,89.239,5.32,99.22,56.522,5.17,95.71,62.799,5.85,90.90,67.869,2.87,48.67,20.113,5.45,99.43,55.563
6.12,80.72,75.217,5.91,21.52,95.875,4.77,97.06,61.359,,,,18.28,50.05,90.962,5.48,98.61,58.277,5.33,94.44,64.510,6.00,88.63,69.852,3.02,53.74,21.812,5.61,98.73,57.708
6.30,77.77,76.963,6.07,18.66,96.476,4.91,95.79,63.297,,,,20.18,45.18,92.517,5.65,97.84,60.018,5.49,93.02,66.195,6.16,86.16,71.778,3.18,58.92,23.674,5.78,97.75,59.832
6.49,74.71,78.640,6.24,16.07,96.994,5.06,94.32,65.205,,,,22.28,40.49,93.910,5.82,96.91,61.742,5.65,91.45,67.851,6.32,83.50,73.646,3.35,64.11,25.701,5.96,96.51,61.928
6.69,71.56,80.247,6.42,13.76,97.437,5.22,92.65,67.080,,,,24.60,36.04,95.150,6.00,95.81,63.447,5.83,89.75,69.477,6.48,80.69,75.450,3.53,69.25,27.890,6.14,95.01,63.993
6.89,68.33,81.781,6.73,5.94,97.628,5.37,90.78,68.917,,,,27.16,31.85,96.247,6.18,94.57,65.130,6.00,87.92,71.070,6.65,77.74,77.189,3.71,74.26,30.238,6.32,93.27,66.019
7.09,65.06,83.241,6.89,10.56,97.968,5.54,88.75,70.712,,,,29.98,27.95,97.208,6.37,93.17,66.788,6.18,85.98,72.627,6.83,74.67,78.859,3.91,79.05,32.737,6.52,91.30,68.002
7.31,61.76,84.627,7.05,14.92,98.449,5.70,86.55,72.463,,,,33.10,24.35,98.046,6.57,91.64,68.418,6.37,83.93,74.147,7.01,71.51,80.458,4.12,83.52,35.377,6.71,89.12,69.938
7.53,58.45,85.940,7.22,16.74,98.988,5.88,84.21,74.167,,,,36.54,21.07,98.771,6.77,89.98,70.019,6.56,81.78,75.629,7.19,68.29,81.985,4.34,87.61,38.147,6.92,86.74,71.823
7.75,55.16,87.178,7.39,14.92,99.469,6.05,81.73,75.821,,,,40.34,18.10,99.394,6.97,88.19,71.589,6.76,79.55,77.070,7.38,65.01,83.439,4.57,91.22,41.031,7.12,84.19,73.652
7.99,51.90,88.343,7.56,10.56,99.809,6.24,79.14,77.422,,,,46.42,10.30,99.749,7.19,86.28,73.124,6.96,77.23,78.469,7.57,61.71,84.819,4.81,94.29,44.011,7.34,81.48,75.422
8.23,48.68,89.435,7.74,5.94,100.000,6.42,76.45,78.969,,,,51.33,3.65,99.874,7.41,84.27,74.623,7.17,74.85,79.825,7.77,58.40,86.125,5.07,96.75,47.070,7.56,78.63,77.130
8.48,45.53,90.458,8.19,0.00,100.000,6.62,73.67,80.460,,,,56.77,3.65,100.000,7.63,82.17,76.086,7.39,72.42,81.137,7.97,55.10,87.357,5.34,98.54,50.185,7.79,75.67,78.774
8.73,42.45,91.411,8.42,0.00,100.000,6.82,70.83,81.893,,,,62.78,0.00,100.000,7.86,79.97,77.509,7.61,69.94,82.403,8.18,51.83,88.517,5.62,99.63,53.335,8.03,72.61,80.351
8.99,39.47,92.297,8.66,0.00,100.000,7.02,67.93,83.267,,,,69.43,0.00,100.000,8.10,77.70,78.891,7.84,67.42,83.625,8.39,48.62,89.604,5.92,100.00,56.496,8.27,69.47,81.861
9.26,36.59,93.118,8.91,0.00,100.000,7.24,64.99,84.582,,,,76.79,0.00,100.000,8.35,75.36,80.232,8.08,64.88,84.800,8.61,45.46,90.621,6.24,99.63,59.646,8.52,66.29,83.301
9.54,33.81,93.877,9.17,0.00,100.000,7.46,62.04,85.837,,,,84.92,0.00,100.000,8.61,72.97,81.531,8.32,62.32,85.929,8.83,42.39,91.569,6.57,98.54,62.761,8.78,63.07,84.671
9.83,31.16,94.576,9.43,0.00,100.000,7.68,59.07,87.033,,,,93.91,0.00,100.000,8.87,70.53,82.786,8.57,59.76,87.011,9.06,39.40,92.450,6.92,96.75,65.819,9.04,59.83,85.971
10.13,28.63,95.219,9.71,0.00,100.000,7.91,56.12,88.168,,,,103.86,0.00,100.000,9.14,68.05,83.996,8.83,57.20,88.047,9.30,36.52,93.267,7.29,94.29,68.800,9.32,56.61,87.201
10.43,26.22,95.807,9.99,0.00,100.000,8.15,53.18,89.244,,,,114.85,0.00,100.000,9.42,65.54,85.163,9.10,54.65,89.037,9.54,33.75,94.021,7.68,91.22,71.684,9.60,53.40,88.361
10.74,23.95,96.345,10.27,0.00,100.000,8.40,50.28,90.262,,,,127.02,0.00,100.000,9.71,63.01,86.284,9.38,52.12,89.981,9.79,31.09,94.717,8.09,87.61,74.454,9.89,50.23,89.452
11.07,21.80,96.834,10.57,0.00,100.000,8.65,47.43,91.221,,,,140.47,0.00,100.000,10.00,60.48,87.360,9.66,49.62,90.880,10.05,28.56,95.355,8.52,83.52,77.094,10.19,47.11,90.476
